lon,lat,elev_m,dB_mGal
-75.38499330654572,4.49003751013052,2433.0,-79.89307886967836
-75.38247824630476,4.49003751013052,2419.0,-81.842231286465
-75.37996318606379,4.49003751013052,2568.0,-81.36311513465209
-75.37744812582282,4.49003751013052,2535.0,-75.32810340497453
-75.37521251671974,4.49003751013052,2491.0,-68.11335483828424
-75.37269745647878,4.49003751013052,2486.0,-61.970233743896486
-75.37018239623782,4.49003751013052,2557.0,-60.23783701441207
-75.36766733599686,4.49003751013052,2495.0,-59.50713447058092
-75.36543172689377,4.49003751013052,2478.0,-59.5857449477121
-75.36291666665281,4.49003751013052,2455.0,-60.507664765662184
-75.4093055555417,4.491996147600107,2148.0,-62.20746096118595
-75.40679049530074,4.491996147600107,1989.0,-62.0791977759702
-75.40455488619766,4.491996147600107,1779.0,-62.21986693466334
-75.40203982595669,4.491996147600107,1827.0,-63.462965795196595
-75.39952476571574,4.491996147600107,2051.0,-65.34086369126784
-75.39700970547477,4.491996147600107,2160.0,-67.14897679461764
-75.39477409637169,4.491996147600107,2302.0,-69.40233485945777
-75.39225903613072,4.491996147600107,2301.0,-72.5720001578499
-75.38974397588976,4.491996147600107,2357.0,-76.20302224716716
-75.38722891564879,4.491996147600107,2456.0,-77.8827439446689
-75.38499330654572,4.491996147600107,2367.0,-76.54772229508018
-75.38247824630476,4.491996147600107,2456.0,-80.67807227879932
-75.37996318606379,4.491996147600107,2455.0,-77.42215954797481
-75.37744812582282,4.491996147600107,2452.0,-72.87989509444311
-75.37521251671974,4.491996147600107,2407.0,-66.82643741694628
-75.37269745647878,4.491996147600107,2518.0,-61.89153872427653
-75.37018239623782,4.491996147600107,2527.0,-59.848078544883755
-75.36766733599686,4.491996147600107,2455.0,-59.1262250024069
-75.36543172689377,4.491996147600107,2407.0,-59.51663918083169
-75.36291666665281,4.491996147600107,2414.0,-60.842588976665986
-75.4093055555417,4.493954785069693,2206.0,-62.22600878846357
-75.40679049530074,4.493954785069693,2022.0,-62.39476804888689
-75.40455488619766,4.493954785069693,1788.0,-62.72024577334337
-75.40203982595669,4.493954785069693,1739.0,-63.90113882382079
-75.39952476571574,4.493954785069693,1928.0,-65.99176281698284
-75.39700970547477,4.493954785069693,2113.0,-67.7841837881259
-75.39477409637169,4.493954785069693,2181.0,-69.19265538579049
-75.39225903613072,4.493954785069693,2200.0,-71.6616463343435
-75.38974397588976,4.493954785069693,2242.0,-75.30357596437291
-75.38722891564879,4.493954785069693,2316.0,-76.7348113342831
-75.38499330654572,4.493954785069693,2386.0,-77.59375270491851
-75.38247824630476,4.493954785069693,2411.0,-77.61795881188154
-75.37996318606379,4.493954785069693,2356.0,-74.92032837968468
-75.37744812582282,4.493954785069693,2315.0,-70.34808223511405
-75.37521251671974,4.493954785069693,2382.0,-65.42093196705837
-75.37269745647878,4.493954785069693,2452.0,-61.400108705029574
-75.37018239623782,4.493954785069693,2451.0,-59.7423408673128
-75.36766733599686,4.493954785069693,2412.0,-59.14755263935634
-75.36543172689377,4.493954785069693,2380.0,-59.755651237724685
-75.36291666665281,4.493954785069693,2400.0,-61.26782849319266
-75.4093055555417,4.49591342253928,2173.0,-62.252969614381364
-75.40679049530074,4.49591342253928,2005.0,-62.66163383655999
-75.40455488619766,4.49591342253928,1870.0,-63.27029511576449
-75.40203982595669,4.49591342253928,1697.0,-64.39050148751723
-75.39952476571574,4.49591342253928,1850.0,-66.35520869294427
-75.39700970547477,4.49591342253928,2016.0,-68.02179291469885
-75.39477409637169,4.49591342253928,2114.0,-69.19024000046878
-75.39225903613072,4.49591342253928,2106.0,-70.93143018497533
-75.38974397588976,4.49591342253928,2181.0,-72.58403775911061
-75.38722891564879,4.49591342253928,2327.0,-73.98356957030566
-75.38499330654572,4.49591342253928,2384.0,-74.99494506759444
-75.38247824630476,4.49591342253928,2335.0,-74.37381708193556
-75.37996318606379,4.49591342253928,2268.0,-72.01193008037902
-75.37744812582282,4.49591342253928,2249.0,-68.3259990837941
-75.37521251671974,4.49591342253928,2275.0,-64.58624048602891
-75.37269745647878,4.49591342253928,2360.0,-61.49245697043461
-75.37018239623782,4.49591342253928,2342.0,-59.94674074911923
-75.36766733599686,4.49591342253928,2341.0,-59.51021084505235
-75.36543172689377,4.49591342253928,2390.0,-60.26512161357117
-75.36291666665281,4.49591342253928,2432.0,-61.71652168198798
-75.4093055555417,4.497872060008866,2146.0,-62.47903491404924
-75.40679049530074,4.497872060008866,2038.0,-62.996156639268406
-75.40455488619766,4.497872060008866,1884.0,-63.74565804092925
-75.40203982595669,4.497872060008866,1728.0,-64.92757788294476
-75.39952476571574,4.497872060008866,1771.0,-66.68098951960363
-75.39700970547477,4.497872060008866,1939.0,-68.4658530327394
-75.39477409637169,4.497872060008866,1976.0,-69.25069562131327
-75.39225903613072,4.497872060008866,2028.0,-69.87845449371464
-75.38974397588976,4.497872060008866,2179.0,-70.67502649180076
-75.38722891564879,4.497872060008866,2283.0,-71.4488212868112
-75.38499330654572,4.497872060008866,2355.0,-71.92419135393479
-75.38247824630476,4.497872060008866,2341.0,-71.30756740571066
-75.37996318606379,4.497872060008866,2223.0,-69.61727521377385
-75.37744812582282,4.497872060008866,2165.0,-66.91809589806077
-75.37521251671974,4.497872060008866,2148.0,-63.97034307044292
-75.37269745647878,4.497872060008866,2236.0,-61.605605068474745
-75.37018239623782,4.497872060008866,2257.0,-60.304139646940435
-75.36766733599686,4.497872060008866,2377.0,-60.121260246918666
-75.36543172689377,4.497872060008866,2486.0,-60.94919514117986
-75.36291666665281,4.497872060008866,2497.0,-62.07402135642524
-75.4093055555417,4.500110502831252,2224.0,-62.667584830276354
-75.40679049530074,4.500110502831252,2121.0,-63.37420529597311
-75.40455488619766,4.500110502831252,2012.0,-64.1032854392357
-75.40203982595669,4.500110502831252,1800.0,-65.38581536007628
-75.39952476571574,4.500110502831252,1664.0,-66.83249218313216
-75.39700970547477,4.500110502831252,1735.0,-68.64150008389781
-75.39477409637169,4.500110502831252,1817.0,-69.02143297409815
-75.39225903613072,4.500110502831252,1946.0,-68.88680841960011
-75.38974397588976,4.500110502831252,2100.0,-68.86013277830675
-75.38722891564879,4.500110502831252,2184.0,-69.03750490298326
-75.38499330654572,4.500110502831252,2286.0,-69.03050498864185
-75.38247824630476,4.500110502831252,2244.0,-68.62350248366899
-75.37996318606379,4.500110502831252,2154.0,-67.83452718516628
-75.37744812582282,4.500110502831252,2089.0,-66.44362893853582
-75.37521251671974,4.500110502831252,2042.0,-64.30610334769143
-75.37269745647878,4.500110502831252,2096.0,-62.09841073352849
-75.37018239623782,4.500110502831252,2236.0,-60.92489524410248
-75.36766733599686,4.500110502831252,2366.0,-61.01886148903853
-75.36543172689377,4.500110502831252,2495.0,-61.722839217325145
-75.36291666665281,4.500110502831252,2534.0,-62.41615367693115
-75.4093055555417,4.502069140300838,2298.0,-62.77544964837336
-75.40679049530074,4.502069140300838,2213.0,-63.47578064414063
-75.40455488619766,4.502069140300838,2052.0,-64.31017474229935
-75.40203982595669,4.502069140300838,1901.0,-65.46488352664723
-75.39952476571574,4.502069140300838,1802.0,-66.70251791357657
-75.39700970547477,4.502069140300838,1680.0,-68.0300373364257
-75.39477409637169,4.502069140300838,1679.0,-68.55208564600399
-75.39225903613072,4.502069140300838,1887.0,-68.10471238108248
-75.38974397588976,4.502069140300838,2003.0,-67.49918233554774
-75.38722891564879,4.502069140300838,2149.0,-67.28549610770507
-75.38499330654572,4.502069140300838,2242.0,-67.18725577427216
-75.38247824630476,4.502069140300838,2189.0,-67.0769873967131
-75.37996318606379,4.502069140300838,2088.0,-66.8006929204864
-75.37744812582282,4.502069140300838,1956.0,-66.20793143528452
