lon,lat,elev_m,dBn_nT_per_m,dBe_nT_per_m,dBz_nT_per_m
-75.37018239623782,4.473808799668231,2617.0,1410.3247819603646,858.3493188219798,-345.9130373811332
-75.36766733599686,4.473808799668231,2764.0,1380.8824907016824,557.675227480666,-345.9130373811332
-75.36543172689377,4.473808799668231,2919.0,1389.0738579991116,499.393893383927,-345.9130373811332
-75.36291666665281,4.473808799668231,3007.0,1540.3177807611175,489.470055461694,-345.9130373811332
-75.4093055555417,4.475767437137818,1902.0,1129.5752518916352,578.8586954700156,-345.9130373811332
-75.40679049530074,4.475767437137818,1983.0,1209.9618883025655,405.100402403341,-345.9130373811332
-75.40455488619766,4.475767437137818,2073.0,1326.7921447682963,325.7015588439053,-345.9130373811332
-75.40203982595669,4.475767437137818,2189.0,1533.1012766881465,312.7393058774077,-345.9130373811332
-75.39952476571574,4.475767437137818,2217.0,1890.9719625198422,396.1361671228501,-345.9130374065944
-75.39700970547477,4.475767437137818,2293.0,2300.7304528333552,515.1930452102873,-314.74193649577956
-75.39477409637169,4.475767437137818,2393.0,2588.625321053699,504.14909440975475,-110.38375086103648
-75.39225903613072,4.475767437137818,2400.0,2680.7051266698872,-110.64152391329506,-298.5066959580167
-75.38974397588976,4.475767437137818,2436.0,4411.3626512167575,56.005040850462834,-1025.4927678653473
-75.38722891564879,4.475767437137818,2462.0,3587.6944119268046,1630.5549172170731,98.225677601599
-75.38499330654572,4.475767437137818,2465.0,3136.0848524891253,2035.8598796046135,-188.76699227607196
-75.38247824630476,4.475767437137818,2543.0,2812.8395797370604,2113.33989217852,-345.91552086787306
-75.37996318606379,4.475767437137818,2558.0,2534.601409244313,2010.2594762809335,-345.9130373811332
-75.37744812582282,4.475767437137818,2486.0,2275.2424488378665,1759.0093757817335,-345.9130373811332
-75.37521251671974,4.475767437137818,2410.0,2060.5385686424147,1473.416003026771,-345.9130373811332
-75.37269745647878,4.475767437137818,2401.0,1785.1834790691287,1163.2859209730975,-345.9130373811332
-75.37018239623782,4.475767437137818,2563.0,1444.9204831335608,796.8206239797377,-345.9130373811332
-75.36766733599686,4.475767437137818,2741.0,1322.3470238397756,475.9516266084506,-345.9130373811332
-75.36543172689377,4.475767437137818,2882.0,1311.2901934016427,493.0625412152923,-345.9130373811332
-75.36291666665281,4.475767437137818,3005.0,1488.8027742470772,490.2277567243233,-345.9130373811332
-75.4093055555417,4.477726074607404,1943.0,972.3157705562534,576.2268171996373,-345.9130373811332
-75.40679049530074,4.477726074607404,1910.0,999.7947296319344,560.0145654910427,-345.9130373811332
-75.40455488619766,4.477726074607404,2005.0,1059.6400030370537,492.1090790649489,-345.9130373811332
-75.40203982595669,4.477726074607404,2158.0,1250.0140234057806,645.1078754106961,-345.9130373811332
-75.39952476571574,4.477726074607404,2266.0,1544.7445921537542,684.918330248511,-346.02098305160837
-75.39700970547477,4.477726074607404,2323.0,2033.6071398007866,670.1146736898843,-292.46570431254275
-75.39477409637169,4.477726074607404,2388.0,2692.5322983545702,844.4714975700462,250.2122852383551
-75.39225903613072,4.477726074607404,2435.0,2416.6233753704573,-38.20649226629335,42.3281143225616
-75.38974397588976,4.477726074607404,2525.0,3433.4352791268575,19.623370251362168,-594.7641312036125
-75.38722891564879,4.477726074607404,2556.0,3402.058902050578,863.5710582933532,-297.59867055270047
-75.38499330654572,4.477726074607404,2492.0,3045.7085185328515,1317.3574262138084,-339.67441592549505
-75.38247824630476,4.477726074607404,2490.0,2732.361057678436,1545.8526256513464,-345.91303791592406
-75.37996318606379,4.477726074607404,2503.0,2469.1400276045433,1622.095791512439,-345.9130373811332
-75.37744812582282,4.477726074607404,2516.0,2223.401986273242,1539.7529448365392,-345.9130373811332
-75.37521251671974,4.477726074607404,2448.0,2017.0621634421686,1356.2325030483212,-345.9130373811332
-75.37269745647878,4.477726074607404,2417.0,1801.940109052066,1122.798920856084,-345.9130373811332
-75.37018239623782,4.477726074607404,2613.0,1495.0143263461598,730.7199185793654,-345.9130373811332
-75.36766733599686,4.477726074607404,2775.0,1308.2287334070097,469.32171349669125,-345.9130373811332
-75.36543172689377,4.477726074607404,2905.0,1239.0378003839992,471.77966811416405,-345.9130373811332
-75.36291666665281,4.477726074607404,3006.0,1410.9234804350772,498.6071486540486,-345.9130373811332
-75.4093055555417,4.479684712076991,1922.0,854.2198386679843,687.1566387582927,-345.9130373811332
-75.40679049530074,4.479684712076991,1915.0,764.8320766461047,795.3394455935231,-345.9130373811332
-75.40455488619766,4.479684712076991,2118.0,768.3514466925026,839.5385026556851,-345.9130373811332
-75.40203982595669,4.479684712076991,2210.0,882.737795516542,920.9113455043341,-345.9130373811332
-75.39952476571574,4.479684712076991,2313.0,1057.3102814469762,709.0972543072967,-344.8009228173563
-75.39700970547477,4.479684712076991,2340.0,1421.7213660632433,487.8218703397342,20.207217834879394
-75.39477409637169,4.479684712076991,2376.0,2176.8854730753123,235.2658834341517,556.5452676636753
-75.39225903613072,4.479684712076991,2508.0,2424.763103200159,-65.43218403710434,415.42143182467555
-75.38974397588976,4.479684712076991,2625.0,2736.7517610714194,-206.60913262603657,-338.9467503328459
-75.38722891564879,4.479684712076991,2631.0,2870.6762379718775,217.94911670811007,-334.75845471765047
-75.38499330654572,4.479684712076991,2637.0,2743.123876159706,622.4833160257692,-345.9032546158826
-75.38247824630476,4.479684712076991,2573.0,2544.1592097096873,961.1926923985934,-345.9130373811332
-75.37996318606379,4.479684712076991,2483.0,2338.0209680475673,1197.7289185265893,-345.9130373811332
-75.37744812582282,4.479684712076991,2551.0,2120.9922038568466,1353.1908027687434,-345.9130373811332
-75.37521251671974,4.479684712076991,2498.0,1930.035705457235,1198.2971247112382,-345.9130373811332
-75.37269745647878,4.479684712076991,2413.0,1734.1742501886981,1045.1852998706024,-345.9130373811332
-75.37018239623782,4.479684712076991,2558.0,1508.6851956514488,713.467614895893,-345.9130373811332
-75.36766733599686,4.479684712076991,2791.0,1314.7648664592934,530.5968455885413,-345.9130373811332
-75.36543172689377,4.479684712076991,2918.0,1201.2310205704262,517.2846072961553,-345.9130373811332
-75.36291666665281,4.479684712076991,2923.0,1332.8612238623534,490.6008650574421,-345.9130373811332
-75.4093055555417,4.481923154899375,1896.0,734.636359447776,854.8140941594696,-345.9130373811332
-75.40679049530074,4.481923154899375,1860.0,521.7217150592019,1186.4288394586888,-345.9130373811332
-75.40455488619766,4.481923154899375,2005.0,441.47661161953596,1278.0999888981455,-345.9130373811332
-75.40203982595669,4.481923154899375,2174.0,425.74188305137835,981.0413699963692,-345.9130373811332
