# META_JSON={"dz_m": 25.0, "model_depth_m": 2000.0, "dome_depth_m": 600.0, "under_depth_m": 750.0, "crater_depth_m": 50.0, "affine6": [0.0002777777777778146, 0.0, -75.4093055555417, 0.0, -0.0002777777777778146, 4.504027777770425], "units": ["Complejo Cajamarca", "Edificio Volcánico", "Depósitos dentro del cráter", "Domo dacítico", "under_dome"], "unit_properties": {"Complejo Cajamarca": {"dens": 2.9, "chi": 0.01}, "Edificio Volcánico": {"dens": 1.8, "chi": 0.02}, "Depósitos dentro del cráter": {"dens": 1.95, "chi": 0.015}, "Domo dacítico": {"dens": 2.5, "chi": 0.03}, "under_dome": {"dens": 1.9, "chi": 0.02}}, "grid_shape": {"nk": 80, "H": 138, "W": 167}, "note": "Leer con pandas.read_csv(..., comment='#'). Cada fila es un intervalo vertical continuo por (x,y)."}
x_easting_m,y_northing_m,top_depth_m,bottom_depth_m,top_elev_m,bottom_elev_m,unit,dens,chi
-75.38749999998615,4.503888888881536,625.0,2000.0,1788.0,413.0,Complejo Cajamarca,2.9,0.01
-75.38722222220836,4.503888888881536,0.0,625.0,2422.0,1797.0,Edificio Volcánico,1.8,0.02
-75.38722222220836,4.503888888881536,625.0,2000.0,1797.0,422.0,Complejo Cajamarca,2.9,0.01
-75.3869444444306,4.503888888881536,0.0,625.0,2469.0,1844.0,Edificio Volcánico,1.8,0.02
-75.3869444444306,4.503888888881536,625.0,2000.0,1844.0,469.0,Complejo Cajamarca,2.9,0.01
-75.38666666665281,4.503888888881536,0.0,625.0,2488.0,1863.0,Edificio Volcánico,1.8,0.02
-75.38666666665281,4.503888888881536,625.0,2000.0,1863.0,488.0,Complejo Cajamarca,2.9,0.01
-75.38638888887503,4.503888888881536,0.0,625.0,2501.0,1876.0,Edificio Volcánico,1.8,0.02
-75.38638888887503,4.503888888881536,625.0,2000.0,1876.0,501.0,Complejo Cajamarca,2.9,0.01
-75.38611111109726,4.503888888881536,0.0,625.0,2521.0,1896.0,Edificio Volcánico,1.8,0.02
-75.38611111109726,4.503888888881536,625.0,2000.0,1896.0,521.0,Complejo Cajamarca,2.9,0.01
-75.38583333331948,4.503888888881536,0.0,625.0,2514.0,1889.0,Edificio Volcánico,1.8,0.02
-75.38583333331948,4.503888888881536,625.0,2000.0,1889.0,514.0,Complejo Cajamarca,2.9,0.01
-75.3855555555417,4.503888888881536,0.0,625.0,2508.0,1883.0,Edificio Volcánico,1.8,0.02
-75.3855555555417,4.503888888881536,625.0,2000.0,1883.0,508.0,Complejo Cajamarca,2.9,0.01
-75.38527777776393,4.503888888881536,0.0,625.0,2498.0,1873.0,Edificio Volcánico,1.8,0.02
-75.38527777776393,4.503888888881536,625.0,2000.0,1873.0,498.0,Complejo Cajamarca,2.9,0.01
-75.38499999998615,4.503888888881536,0.0,625.0,2482.0,1857.0,Edificio Volcánico,1.8,0.02
-75.38499999998615,4.503888888881536,625.0,2000.0,1857.0,482.0,Complejo Cajamarca,2.9,0.01
-75.38472222220837,4.503888888881536,0.0,625.0,2462.0,1837.0,Edificio Volcánico,1.8,0.02
-75.38472222220837,4.503888888881536,625.0,2000.0,1837.0,462.0,Complejo Cajamarca,2.9,0.01
-75.3844444444306,4.503888888881536,0.0,625.0,2455.0,1830.0,Edificio Volcánico,1.8,0.02
